ID;Nombre;IdFutbin;Enlace;Media;Calidad;Equipo;Liga;Pais;Ritmo;Tiro;Pase;Regate;Defensa;Fisico
0;Rodrigo Hernández Cascante;55805;https://www.futbin.com/25/player/55805/rodrigo-hernandez-cascante;97;ballon_dor;Manchester City;Premier League;Spain;88;88;90;88;97;90
1;Aitana Bonmatí Conca;55806;https://www.futbin.com/25/player/55806/aitana-bonmati-conca;97;ballon_dor;FC Barcelona;Liga F;Spain;90;92;92;97;82;82
2;Caroline Graham Hansen;56762;https://www.futbin.com/25/player/56762/caroline-graham-hansen;97;toty;FC Barcelona;Liga F;Norway;96;95;95;97;58;86
3;Vinícius José de Oliveira Júnior;56763;https://www.futbin.com/25/player/56763/vinicius-jose-de-oliveira-junior;97;toty;Real Madrid;LALIGA EA SPORTS;Brazil;99;91;90;98;38;78
4;Sophia Wilson;56764;https://www.futbin.com/25/player/56764/sophia-wilson;97;toty;Portland Timbers-Thorns;NWSL;United States;98;95;87;98;54;93
5;Rodrigo Hernández Cascante;56772;https://www.futbin.com/25/player/56772/rodrigo-hernandez-cascante;97;toty;Manchester City;Premier League;Spain;89;86;94;91;97;92
6;Jude Bellingham;56776;https://www.futbin.com/25/player/56776/jude-bellingham;97;toty;Real Madrid;LALIGA EA SPORTS;England;90;95;92;97;87;91
7;Aitana Bonmatí Conca;56777;https://www.futbin.com/25/player/56777/aitana-bonmati-conca;97;toty;FC Barcelona;Liga F;Spain;90;92;95;97;85;84
8;Edson Arantes Nascimento;59426;https://www.futbin.com/25/player/59426/edson-arantes-nascimento;97;fut_immortals_icon;EA FC ICONS;Icons;Brazil;95;97;93;96;61;82
9;Zinedine Zidane;56105;https://www.futbin.com/25/player/56105/zinedine-zidane;96;thunderstruck_icon;EA FC ICONS;Icons;France;86;92;96;96;76;86
10;Edson Arantes Nascimento;56755;https://www.futbin.com/25/player/56755/edson-arantes-nascimento;96;toty_icon;EA FC ICONS;Icons;Brazil;94;95;92;95;60;80
11;Mohamed Salah;56765;https://www.futbin.com/25/player/56765/mohamed-salah;96;toty;Liverpool;Premier League;Egypt;96;94;91;96;57;84
12;Kylian Mbappé;56766;https://www.futbin.com/25/player/56766/kylian-mbappe;96;toty;Real Madrid;LALIGA EA SPORTS;France;99;95;86;97;43;85
13;Lauren James;56767;https://www.futbin.com/25/player/56767/lauren-james;96;toty;Chelsea;Barclays WSL;England;98;91;90;97;51;93
14;Guro Reiten;56778;https://www.futbin.com/25/player/56778/guro-reiten;96;toty;Chelsea;Barclays WSL;Norway;96;91;94;94;70;75
15;Alexia Putellas Segura;56780;https://www.futbin.com/25/player/56780/alexia-putellas-segura;96;toty;FC Barcelona;Liga F;Spain;88;95;96;97;80;86
16;Virgil van Dijk;56783;https://www.futbin.com/25/player/56783/virgil-van-dijk;96;toty;Liverpool;Premier League;Netherlands;87;67;80;78;96;95
17;Johan Cruyff;57173;https://www.futbin.com/25/player/57173/johan-cruyff;96;future_stars_icon;EA FC ICONS;Icons;Netherlands;93;94;93;96;45;78
18;Diego Maradona;57524;https://www.futbin.com/25/player/57524/diego-maradona;96;grassroot_greats_icon;EA FC ICONS;Icons;Argentina;92;92;92;97;42;80
19;Ronaldo Luís Nazário de Lima;59322;https://www.futbin.com/25/player/59322/ronaldo-luis-nazario-de-lima;96;fut_immortals_icon;EA FC ICONS;Icons;Brazil;96;96;81;96;45;80
20;Beckenbauer;59324;https://www.futbin.com/25/player/59324/beckenbauer;96;fut_immortals_icon;EA FC ICONS;Icons;Germany;87;77;93;88;97;90
21;Mia Hamm;59428;https://www.futbin.com/25/player/59428/mia-hamm;96;fut_immortals_icon;EA FC ICONS;Icons;United States;95;96;90;94;58;84
22;Eusébio da Silva Ferreira;59429;https://www.futbin.com/25/player/59429/eusebio-da-silva-ferreira;96;fut_immortals_icon;EA FC ICONS;Icons;Portugal;95;96;90;96;50;84
23;Franck Ribéry;59491;https://www.futbin.com/25/player/59491/franck-ribery;96;fut_immortals_icon;EA FC ICONS;Icons;France;96;92;94;97;53;80
24;Edson Arantes Nascimento;54471;https://www.futbin.com/25/player/54471/edson-arantes-nascimento;95;icon;EA FC ICONS;Icons;Brazil;93;94;91;94;58;74
25;Rúben Santos Gato Alves Dias;55807;https://www.futbin.com/25/player/55807/ruben-santos-gato-alves-dias;95;ballon_dor;Manchester City;Premier League;Portugal;91;44;75;75;95;90
26;Kylian Mbappé;55808;https://www.futbin.com/25/player/55808/kylian-mbappe;95;ballon_dor;Real Madrid;LALIGA EA SPORTS;France;98;93;89;94;42;81
27;Jude Bellingham;55809;https://www.futbin.com/25/player/55809/jude-bellingham;95;ballon_dor;Real Madrid;LALIGA EA SPORTS;England;91;92;95;93;86;87
28;Vinícius José de Oliveira Júnior;55810;https://www.futbin.com/25/player/55810/vinicius-jose-de-oliveira-junior;95;ballon_dor;Real Madrid;LALIGA EA SPORTS;Brazil;97;90;89;95;40;75
29;William Saliba;55811;https://www.futbin.com/25/player/55811/william-saliba;95;ballon_dor;Arsenal;Premier League;France;93;46;78;78;95;88
