Nombre,IdFutwiz,Enlace,Media,Calidad,Ritmo,Tiro,Pase,Regate,Defensa,Fisico
Gyasi Zardes,14852,https://www.futwiz.com/en/fifa22/player/gyasi-zardes/14852,73,silver,85,71,52,68,44,79
Muhammet Demir,14853,https://www.futwiz.com/en/fifa22/player/muhammet-demir/14853,73,silver,72,75,69,74,37,67
Luca Orellano,14854,https://www.futwiz.com/en/fifa22/player/luca-orellano/14854,73,libertadores,90,70,61,78,33,59
Pawel Kieszek,14855,https://www.futwiz.com/en/fifa22/player/pawel-kieszek/14855,73,silver-nr,72,71,68,74,51,73
Rayan Cherki,14856,https://www.futwiz.com/en/fifa22/player/rayan-cherki/14856,73,silver,72,67,68,81,21,58
Matt Phillips,14857,https://www.futwiz.com/en/fifa22/player/matt-phillips/14857,73,silver,78,70,70,73,43,69
Odil Akhmedov,14858,https://www.futwiz.com/en/fifa22/player/odil-akhmedov/14858,73,silver,67,70,72,71,71,72
Yassine Benrahou,14859,https://www.futwiz.com/en/fifa22/player/yassine-benrahou/14859,73,silver,73,67,72,78,41,54
Younes Namli,14860,https://www.futwiz.com/en/fifa22/player/younes-namli/14860,73,silver,76,59,70,78,45,61
Victor Nelsson,14861,https://www.futwiz.com/en/fifa22/player/victor-nelsson/14861,73,silver,68,42,62,64,72,81
Christian Cueva,14862,https://www.futwiz.com/en/fifa22/player/christian-cueva/14862,73,silver,73,68,72,76,41,51
Panagiotis Retsos,14863,https://www.futwiz.com/en/fifa22/player/panagiotis-retsos/14863,73,silver,65,35,59,57,75,71
Gaston Pereiro,14864,https://www.futwiz.com/en/fifa22/player/gaston-pereiro/14864,73,silver,70,73,70,77,40,67
Augusto Solari,14865,https://www.futwiz.com/en/fifa22/player/augusto-solari/14865,73,silver,86,64,70,74,58,74
Adam Smith,14866,https://www.futwiz.com/en/fifa22/player/adam-smith/14866,73,silver,68,60,70,71,70,70
