Nombre,IdFutwiz,Enlace,Media,Calidad,Ritmo,Tiro,Pase,Regate,Defensa,Fisico
Cristiano Ronaldo,21403,https://www.futwiz.com/en/fifa22/player/cristiano-ronaldo/21403,99,shapeshifter,99,99,90,97,50,92
Lionel Messi,21349,https://www.futwiz.com/en/fifa22/player/lionel-messi/21349,99,shapeshifter,95,98,99,99,42,78
Pele,20164,https://www.futwiz.com/en/fifa22/player/pele/20164,99,iconmoment,96,97,96,97,62,79
Abedi Pele,21483,https://www.futwiz.com/en/fifa22/player/abedi-pele/21483,98,shapehero,98,93,96,99,64,75
N'Golo Kante,21468,https://www.futwiz.com/en/fifa22/player/ngolo-kante/21468,98,shapeshifter,92,93,92,96,92,91
Gareth Bale,21461,https://www.futwiz.com/en/fifa22/player/gareth-bale/21461,98,sbcprem,99,98,97,97,70,96
Franck Ribery,21458,https://www.futwiz.com/en/fifa22/player/franck-ribery/21458,98,shapeshifter,96,95,97,99,46,81
David Ginola,21445,https://www.futwiz.com/en/fifa22/player/david-ginola/21445,98,shapehero,98,96,95,97,63,92
Karim Benzema,21068,https://www.futwiz.com/en/fifa22/player/karim-benzema/21068,98,tots,95,98,90,98,47,87
Diego Maradona,20270,https://www.futwiz.com/en/fifa22/player/diego-maradona/20270,98,iconmoment,93,94,95,98,42,78
Lionel Messi,18327,https://www.futwiz.com/en/fifa22/player/lionel-messi/18327,98,toty,93,97,98,99,40,76
Robert Lewandowski,18326,https://www.futwiz.com/en/fifa22/player/robert-lewandowski/18326,98,toty,93,98,87,95,50,95
Pele,18053,https://www.futwiz.com/en/fifa22/player/pele/18053,98,icon,95,96,93,96,60,76
Antonio Di Natale,21472,https://www.futwiz.com/en/fifa22/player/antonio-di-natale/21472,97,shapehero,97,98,94,98,55,80
Diego Milito,21471,https://www.futwiz.com/en/fifa22/player/diego-milito/21471,97,shapehero,94,95,94,97,60,88
Diego Milito,21470,https://www.futwiz.com/en/fifa22/player/diego-milito/21470,97,shapehero,97,97,89,95,51,88
Ivan Cordoba,21469,https://www.futwiz.com/en/fifa22/player/ivan-cordoba/21469,97,shapehero,96,75,84,90,96,94
Ole Gunnar Solskjaer,21448,https://www.futwiz.com/en/fifa22/player/ole-gunnar-solskjaer/21448,97,shapehero,99,98,90,94,55,85
Ole Gunnar Solskjaer,21447,https://www.futwiz.com/en/fifa22/player/ole-gunnar-solskjaer/21447,97,shapehero,90,94,97,98,60,82
