ID,Nombre,IdFutwiz,Enlace,Media,Calidad,Equipo,Liga,Pais,Ritmo,Tiro,Pase,Regate,Defensa,Fisico
0,robert lewandowski,22991,https://www.futwiz.com/en/fifa22/player/robert-lewandowski/22991,99,moments,FC Barcelona,ESP 1,Polonia,97,99,90,98,52,98
1,mohamed salah,22976,https://www.futwiz.com/en/fifa22/player/mohamed-salah/22976,99,futtiesup,Liverpool,ENG 1,Egipto,99,99,96,99,54,88
2,ousmane dembele,21608,https://www.futwiz.com/en/fifa22/player/ousmane-dembele/21608,99,futtiesup,FC Barcelona,ESP 1,Francia,99,96,94,99,49,79
3,raphael varane,21600,https://www.futwiz.com/en/fifa22/player/raphael-varane/21600,99,futtiesup,Manchester United,ENG 1,Francia,96,61,80,83,99,98
4,cristiano ronaldo,21403,https://www.futwiz.com/en/fifa22/player/cristiano-ronaldo/21403,99,shapeshifter,Manchester United,ENG 1,Portugal,99,99,90,97,50,92
5,lionel messi,21349,https://www.futwiz.com/en/fifa22/player/lionel-messi/21349,99,shapeshifter,Paris Saint-Germain,FRA 1,Argentina,95,98,99,99,42,78
6,pele,20164,https://www.futwiz.com/en/fifa22/player/pele/20164,99,iconmoment,Icons,ICO,Brasil,96,97,96,97,62,79
7,alexis sanchez,23012,https://www.futwiz.com/en/fifa22/player/alexis-sanchez/23012,98,moments,Olympique de Marseille,FRA 1,Chile,97,98,96,98,54,93
8,kalidou koulibaly,23011,https://www.futwiz.com/en/fifa22/player/kalidou-koulibaly/23011,98,moments,Chelsea,ENG 1,Senegal,95,43,80,85,98,97
9,ivan perisic,23009,https://www.futwiz.com/en/fifa22/player/ivan-perisic/23009,98,showdown1,Tottenham Hotspur,ENG 1,Croacia,99,97,95,98,87,92
10,julian alvarez,23008,https://www.futwiz.com/en/fifa22/player/julian-alvarez/23008,98,showdown1,Manchester City,ENG 1,Argentina,99,99,97,98,69,87
11,nick pope,23007,https://www.futwiz.com/en/fifa22/player/nick-pope/23007,98,moments,Newcastle United,ENG 1,Inglaterra,96,97,90,98,70,96
12,paulo dybala,23006,https://www.futwiz.com/en/fifa22/player/paulo-dybala/23006,98,moments,Roma FC,ITA 1,Argentina,97,98,98,99,51,83
13,sadio mane,23005,https://www.futwiz.com/en/fifa22/player/sadio-mane/23005,98,moments,Bayern MA 1/4 nchen,GER 1,Senegal,99,96,95,99,56,92
14,jules kounde,23001,https://www.futwiz.com/en/fifa22/player/jules-kounde/23001,98,showdown1,FC Barcelona,ESP 1,Francia,96,60,83,90,99,95
15,erling haaland,22996,https://www.futwiz.com/en/fifa22/player/erling-haaland/22996,98,moments,Manchester City,ENG 1,Noruega,99,99,91,95,54,98
16,christian eriksen,22989,https://www.futwiz.com/en/fifa22/player/christian-eriksen/22989,98,showdown1,Manchester United,ENG 1,Dinamarca,96,97,99,98,90,92
17,neymar jr,21607,https://www.futwiz.com/en/fifa22/player/neymar-jr/21607,98,futtiesup,Paris Saint-Germain,FRA 1,Brasil,99,95,94,99,44,73
18,wissam ben yedder,21606,https://www.futwiz.com/en/fifa22/player/wissam-ben-yedder/21606,98,futtiesup,AS Monaco,FRA 1,Francia,99,99,93,99,55,85
19,abedi pele,21483,https://www.futwiz.com/en/fifa22/player/abedi-pele/21483,98,shapehero,,GER 1,Ghana,98,93,96,99,64,75
20,n'golo kante,21468,https://www.futwiz.com/en/fifa22/player/ngolo-kante/21468,98,shapeshifter,Chelsea,ENG 1,Francia,92,93,92,96,92,91
21,gareth bale,21461,https://www.futwiz.com/en/fifa22/player/gareth-bale/21461,98,sbcprem,Real Madrid,ESP 1,Gales,99,98,97,97,70,96
22,franck ribery,21458,https://www.futwiz.com/en/fifa22/player/franck-ribery/21458,98,shapeshifter,Salernitana,ITA 1,Francia,96,95,97,99,46,81
23,david ginola,21445,https://www.futwiz.com/en/fifa22/player/david-ginola/21445,98,shapehero,,ENG 1,Francia,98,96,95,97,63,92
24,karim benzema,21068,https://www.futwiz.com/en/fifa22/player/karim-benzema/21068,98,tots,Real Madrid,ESP 1,Francia,95,98,90,98,47,87
25,diego maradona,20270,https://www.futwiz.com/en/fifa22/player/diego-maradona/20270,98,iconmoment,Icons,ICO,Argentina,93,94,95,98,42,78
26,lionel messi,18327,https://www.futwiz.com/en/fifa22/player/lionel-messi/18327,98,toty,Paris Saint-Germain,FRA 1,Argentina,93,97,98,99,40,76
27,robert lewandowski,18326,https://www.futwiz.com/en/fifa22/player/robert-lewandowski/18326,98,toty,Bayern MA 1/4 nchen,GER 1,Polonia,93,98,87,95,50,95
28,pele,18053,https://www.futwiz.com/en/fifa22/player/pele/18053,98,icon,Icons,ICO,Brasil,95,96,93,96,60,76
29,richarlison,23013,https://www.futwiz.com/en/fifa22/player/richarlison/23013,97,moments,Tottenham Hotspur,ENG 1,Brasil,99,96,91,98,70,93
30,raheem sterling,23003,https://www.futwiz.com/en/fifa22/player/raheem-sterling/23003,97,moments,Chelsea,ENG 1,Inglaterra,99,96,92,98,54,80
31,antonio rudiger,22998,https://www.futwiz.com/en/fifa22/player/antonio-rudiger/22998,97,moments,Real Madrid,ESP 1,Alemania,92,54,85,87,98,98
32,georginio wijnaldum,22995,https://www.futwiz.com/en/fifa22/player/georginio-wijnaldum/22995,97,showdown1,Roma FC,ITA 1,Holanda,94,91,94,99,94,94
33,paul pogba,22994,https://www.futwiz.com/en/fifa22/player/paul-pogba/22994,97,showdown1,Piemonte Calcio,ITA 1,Francia,94,92,96,98,92,94
34,ryan gravenberch,22992,https://www.futwiz.com/en/fifa22/player/ryan-gravenberch/22992,97,moments,Bayern MA 1/4 nchen,GER 1,Holanda,96,92,96,98,90,92
35,wissam ben yedder,21602,https://www.futwiz.com/en/fifa22/player/wissam-ben-yedder/21602,97,futtieswinner,AS Monaco,FRA 1,Francia,99,97,92,99,55,84
36,allan saint-maximin,21601,https://www.futwiz.com/en/fifa22/player/allan-saint-maximin/21601,97,futtiesup,Newcastle United,ENG 1,Francia,99,95,91,99,35,87
37,antonio di natale,21472,https://www.futwiz.com/en/fifa22/player/antonio-di-natale/21472,97,shapehero,,ITA 1,Italia,97,98,94,98,55,80
38,diego milito,21471,https://www.futwiz.com/en/fifa22/player/diego-milito/21471,97,shapehero,,ITA 1,Argentina,94,95,94,97,60,88
39,diego milito,21470,https://www.futwiz.com/en/fifa22/player/diego-milito/21470,97,shapehero,,ITA 1,Argentina,97,97,89,95,51,88
40,ivan cordoba,21469,https://www.futwiz.com/en/fifa22/player/ivan-cordoba/21469,97,shapehero,,ITA 1,Colombia,96,75,84,90,96,94
41,ole gunnar solskjaer,21448,https://www.futwiz.com/en/fifa22/player/ole-gunnar-solskjaer/21448,97,shapehero,,ENG 1,Noruega,99,98,90,94,55,85
42,ole gunnar solskjaer,21447,https://www.futwiz.com/en/fifa22/player/ole-gunnar-solskjaer/21447,97,shapehero,,ENG 1,Noruega,90,94,97,98,60,82
43,marcus rashford,21446,https://www.futwiz.com/en/fifa22/player/marcus-rashford/21446,97,shapeshifter,Manchester United,ENG 1,Inglaterra,99,97,93,96,55,91
44,marcelo,21408,https://www.futwiz.com/en/fifa22/player/marcelo/21408,97,shapeshifter,Real Madrid,ESP 1,Brasil,96,94,95,98,90,88
45,heung min son,21362,https://www.futwiz.com/en/fifa22/player/heung-min-son/21362,97,shapeshifter,Tottenham Hotspur,ENG 1,Rep. Corea,97,97,93,96,52,82
46,rafael leao,21226,https://www.futwiz.com/en/fifa22/player/rafael-leao/21226,97,tots,Milan,ITA 1,Portugal,99,95,90,98,47,90
47,kylian mbappe,21167,https://www.futwiz.com/en/fifa22/player/kylian-mbappe/21167,97,tots,Paris Saint-Germain,FRA 1,Francia,99,96,90,99,44,89
48,lionel messi,21166,https://www.futwiz.com/en/fifa22/player/lionel-messi/21166,97,tots,Paris Saint-Germain,FRA 1,Argentina,92,96,97,99,38,74
49,luka modric,21067,https://www.futwiz.com/en/fifa22/player/luka-modric/21067,97,tots,Real Madrid,ESP 1,Croacia,90,90,98,97,86,86
50,joshua kimmich,20995,https://www.futwiz.com/en/fifa22/player/joshua-kimmich/20995,97,tots,Bayern MA 1/4 nchen,GER 1,Alemania,88,84,97,93,95,93
51,robert lewandowski,20991,https://www.futwiz.com/en/fifa22/player/robert-lewandowski/20991,97,tots,Bayern MA 1/4 nchen,GER 1,Polonia,92,97,86,94,49,94
52,cristiano ronaldo,20915,https://www.futwiz.com/en/fifa22/player/cristiano-ronaldo/20915,97,tots,Manchester United,ENG 1,Portugal,94,99,88,95,39,91
53,mohamed salah,20911,https://www.futwiz.com/en/fifa22/player/mohamed-salah/20911,97,tots,Liverpool,ENG 1,Egipto,98,97,94,98,52,86
54,ronaldo nazario,20085,https://www.futwiz.com/en/fifa22/player/ronaldo-nazario/20085,97,iconmoment,Icons,ICO,Brasil,98,97,83,97,46,79
55,zinedine zidane,20083,https://www.futwiz.com/en/fifa22/player/zinedine-zidane/20083,97,iconmoment,Icons,ICO,Francia,86,93,98,98,76,88
56,cristiano ronaldo,18592,https://www.futwiz.com/en/fifa22/player/cristiano-ronaldo/18592,97,toty,Manchester United,ENG 1,Portugal,93,98,88,95,39,92
57,kylian mbappe,18325,https://www.futwiz.com/en/fifa22/player/kylian-mbappe/18325,97,toty,Paris Saint-Germain,FRA 1,Francia,99,95,90,98,44,88
58,jorginho,18323,https://www.futwiz.com/en/fifa22/player/jorginho/18323,97,toty,Chelsea,ENG 1,Italia,88,90,98,93,86,87
59,ruben dias,18320,https://www.futwiz.com/en/fifa22/player/ruben-dias/18320,97,toty,Manchester City,ENG 1,Portugal,87,50,84,81,97,96
60,diego maradona,18157,https://www.futwiz.com/en/fifa22/player/diego-maradona/18157,97,icon,Icons,ICO,Argentina,92,93,92,97,40,76
61,charles de ketelaere,23010,https://www.futwiz.com/en/fifa22/player/charles-de-ketelaere/23010,96,moments,Milan,ITA 1,Belgica,96,96,95,98,90,96
62,tanguy ndombele,23004,https://www.futwiz.com/en/fifa22/player/tanguy-ndombele/23004,96,moments,Napoli,ITA 1,Francia,93,92,96,99,90,91
63,alex telles,23002,https://www.futwiz.com/en/fifa22/player/alex-telles/23002,96,showdown,Sevilla FC,ESP 1,Brasil,97,84,98,92,92,90
64,diego carlos,23000,https://www.futwiz.com/en/fifa22/player/diego-carlos/23000,96,moments,Aston Villa,ENG 1,Brasil,91,57,82,85,97,98
65,renato sanches,22999,https://www.futwiz.com/en/fifa22/player/renato-sanches/22999,96,moments,Paris Saint-Germain,FRA 1,Portugal,96,91,94,98,89,95
66,gabriel jesus,22997,https://www.futwiz.com/en/fifa22/player/gabriel-jesus/22997,96,moments,Arsenal,ENG 1,Brasil,97,94,90,98,52,87
67,darwin nunez,22988,https://www.futwiz.com/en/fifa22/player/darwin-nunez/22988,96,showdown,Liverpool,ENG 1,Uruguay,98,96,91,95,59,98
68,gelson martins,21603,https://www.futwiz.com/en/fifa22/player/gelson-martins/21603,96,futtieswinner,AS Monaco,FRA 1,Portugal,99,96,93,99,71,88
69,antoine griezmann,21596,https://www.futwiz.com/en/fifa22/player/antoine-griezmann/21596,96,futtiesup,AtlA(c)tico de Madrid,ESP 1,Francia,95,96,94,98,60,81
70,kevin-prince boateng,21593,https://www.futwiz.com/en/fifa22/player/kevin-prince-boateng/21593,96,futtiesup,Hertha BSC,GER 1,Ghana,90,96,93,97,87,96
71,ferland mendy,21584,https://www.futwiz.com/en/fifa22/player/ferland-mendy/21584,96,futtiesup,Real Madrid,ESP 1,Francia,99,91,92,93,93,97
72,nicolo barella,21576,https://www.futwiz.com/en/fifa22/player/nicolo-barella/21576,96,futtiesup,Inter,ITA 1,Italia,94,91,96,98,91,90
73,ferran torres,21521,https://www.futwiz.com/en/fifa22/player/ferran-torres/21521,96,futtieswinner,FC Barcelona,ESP 1,España,99,92,96,97,47,81
74,kingsley coman,21504,https://www.futwiz.com/en/fifa22/player/kingsley-coman/21504,96,futtieswinner,Bayern MA 1/4 nchen,GER 1,Francia,99,94,96,98,38,82
75,joe cole,21473,https://www.futwiz.com/en/fifa22/player/joe-cole/21473,96,shapehero,,FRA 1,Inglaterra,97,92,94,98,60,83
76,marco reus,21467,https://www.futwiz.com/en/fifa22/player/marco-reus/21467,96,moments,Borussia Dortmund,GER 1,Alemania,97,93,95,96,58,83
77,leroy sane,21449,https://www.futwiz.com/en/fifa22/player/leroy-sane/21449,96,shapeshifter,Bayern MA 1/4 nchen,GER 1,Alemania,99,93,92,96,50,84
78,jamie vardy,21423,https://www.futwiz.com/en/fifa22/player/jamie-vardy/21423,96,moments,Leicester City,ENG 1,Inglaterra,97,96,88,94,61,87
79,fernandinho,21417,https://www.futwiz.com/en/fifa22/player/fernandinho/21417,96,sbcprem,Manchester City,ENG 1,Brasil,89,86,92,94,96,93
80,timo werner,21405,https://www.futwiz.com/en/fifa22/player/timo-werner/21405,96,shapeshifter,Chelsea,ENG 1,Alemania,99,95,91,96,50,88
81,sergio ramos,21404,https://www.futwiz.com/en/fifa22/player/sergio-ramos/21404,96,shapeshifter,Paris Saint-Germain,FRA 1,España,97,95,90,93,90,91
82,giorgio chiellini,21368,https://www.futwiz.com/en/fifa22/player/giorgio-chiellini/21368,96,sbcprem,Piemonte Calcio,ITA 1,Italia,91,54,81,86,98,96
83,alphonso davies,21351,https://www.futwiz.com/en/fifa22/player/alphonso-davies/21351,96,shapeshifter,Bayern MA 1/4 nchen,GER 1,Canada,99,92,91,96,90,91
