ID;Nombre;IdFutwiz;Enlace;Media;Calidad;Equipo;Liga;Pais;Ritmo;Tiro;Pase;Regate;Defensa;Fisico
0;pele;17705;https://www.futwiz.com/en/fc24/player/pele/17705;95;icon;;;Brasil;93;94;91;94;58;74
1;ronaldo nazario;17707;https://www.futwiz.com/en/fc24/player/ronaldo-nazario/17707;94;icon;;;Brasil;94;94;79;94;43;75
2;zinedine zidane;17706;https://www.futwiz.com/en/fc24/player/zinedine-zidane/17706;94;icon;;;Francia;83;90;94;94;73;84
3;johan cruyff;17708;https://www.futwiz.com/en/fc24/player/johan-cruyff/17708;93;icon;;;Holanda;90;91;90;93;42;73
4;mia hamm;17704;https://www.futwiz.com/en/fc24/player/mia-hamm/17704;93;icon;;;Estados Unidos;92;93;86;92;54;81
5;ronaldinho;17696;https://www.futwiz.com/en/fc24/player/ronaldinho/17696;93;icon;;;Brasil;91;89;90;95;38;80
6;ferenc puskas;17713;https://www.futwiz.com/en/fc24/player/ferenc-puskas/17713;92;icon;;;Hungria;90;94;89;91;45;74
7;garrincha;17712;https://www.futwiz.com/en/fc24/player/garrincha/17712;92;icon;;;Brasil;89;85;92;94;40;66
8;lev yashin;17711;https://www.futwiz.com/en/fc24/player/lev-yashin/17711;92;icon;;;Rusia;93;89;75;94;60;93
9;paolo maldini;17710;https://www.futwiz.com/en/fc24/player/paolo-maldini/17710;92;icon;;;Italia;85;55;74;69;95;82
10;gerd muller;17709;https://www.futwiz.com/en/fc24/player/gerd-muller/17709;92;icon;;;Alemania;87;92;76;85;44;74
11;bobby charlton;17703;https://www.futwiz.com/en/fc24/player/bobby-charlton/17703;92;icon;;;Inglaterra;90;91;87;91;50;74
12;birgit prinz;17702;https://www.futwiz.com/en/fc24/player/birgit-prinz/17702;92;icon;;;Alemania;83;92;80;82;52;88
13;alexia putellas;18401;https://www.futwiz.com/en/fc24/player/alexia-putellas/18401;91;182;FC Barcelona;;España;82;90;91;92;72;78
14;robert lewandowski;17805;https://www.futwiz.com/en/fc24/player/robert-lewandowski/17805;91;goldif;FC Barcelona;ESP 1;Polonia;77;92;82;88;45;85
15;carlos alberto torres;17719;https://www.futwiz.com/en/fc24/player/carlos-alberto-torres/17719;91;icon;;;Brasil;89;64;80;84;88;85
16;eusebio;17718;https://www.futwiz.com/en/fc24/player/eusebio/17718;91;icon;;;Portugal;92;92;84;91;44;77
17;roberto baggio;17717;https://www.futwiz.com/en/fc24/player/roberto-baggio/17717;91;icon;;;Italia;84;82;90;91;38;60
18;franco baresi;17716;https://www.futwiz.com/en/fc24/player/franco-baresi/17716;91;icon;;;Italia;73;48;75;70;94;83
19;marco van basten;17715;https://www.futwiz.com/en/fc24/player/marco-van-basten/17715;91;icon;;;Holanda;84;92;74;87;37;73
20;cafu;17714;https://www.futwiz.com/en/fc24/player/cafu/17714;91;icon;;;Brasil;90;56;83;85;88;83
21;zico;17701;https://www.futwiz.com/en/fc24/player/zico/17701;91;icon;;;Brasil;89;92;91;91;62;71
22;homare sawa;17700;https://www.futwiz.com/en/fc24/player/homare-sawa/17700;91;icon;;;Japon;84;87;91;91;83;76
23;thierry henry;17694;https://www.futwiz.com/en/fc24/player/thierry-henry/17694;91;icon;;;Francia;93;90;82;89;51;78
24;kylian mbappe;51;https://www.futwiz.com/en/fc24/player/kylian-mbappe/51;91;gold;Paris SG;FRA 1;Francia;97;90;80;92;36;78
25;alexia putellas;50;https://www.futwiz.com/en/fc24/player/alexia-putellas/50;91;gold;FC Barcelona;;España;82;90;91;92;72;78
26;kevin de bruyne;49;https://www.futwiz.com/en/fc24/player/kevin-de-bruyne/49;91;gold;Manchester City;ENG 1;Belgica;72;88;94;87;65;78
27;erling haaland;28;https://www.futwiz.com/en/fc24/player/erling-haaland/28;91;gold;Manchester City;ENG 1;Noruega;89;93;66;80;45;88
28;wesley sneijder;4;https://www.futwiz.com/en/fc24/player/wesley-sneijder/4;91;171;;ITA 1;Holanda;85;87;93;89;56;80
29;gianluca vialli;2;https://www.futwiz.com/en/fc24/player/gianluca-vialli/2;91;171;;ITA 1;Italia;90;91;74;85;44;82
30;sam kerr;18400;https://www.futwiz.com/en/fc24/player/sam-kerr/18400;90;182;Chelsea;;Australia;85;88;74;90;42;85
31;mohamed salah;17806;https://www.futwiz.com/en/fc24/player/mohamed-salah/17806;90;goldif;Liverpool;ENG 1;Egipto;90;89;82;89;46;78
32;alessandro del piero;17730;https://www.futwiz.com/en/fc24/player/alessandro-del-piero/17730;90;icon;;;Italia;83;90;87;91;41;66
33;raul;17729;https://www.futwiz.com/en/fc24/player/raul/17729;90;icon;;;España;86;90;80;88;45;72
34;lothar matthaus;17728;https://www.futwiz.com/en/fc24/player/lothar-matthaus/17728;90;icon;;;Alemania;88;87;88;81;89;82
35;george best;17727;https://www.futwiz.com/en/fc24/player/george-best/17727;90;icon;;;Irlanda N.;91;89;82;92;56;68
36;casillas;17726;https://www.futwiz.com/en/fc24/player/casillas/17726;90;icon;;;España;90;88;84;93;59;88
37;bobby moore;17725;https://www.futwiz.com/en/fc24/player/bobby-moore/17725;90;icon;;;Inglaterra;70;62;81;76;92;83
38;andrea pirlo;17724;https://www.futwiz.com/en/fc24/player/andrea-pirlo/17724;90;icon;;;Italia;73;79;93;89;69;66
39;xavi;17723;https://www.futwiz.com/en/fc24/player/xavi/17723;90;icon;;;España;80;76;92;90;69;69
40;dennis bergkamp;17722;https://www.futwiz.com/en/fc24/player/dennis-bergkamp/17722;90;icon;;;Holanda;83;89;84;88;35;76
41;roberto carlos;17721;https://www.futwiz.com/en/fc24/player/roberto-carlos/17721;90;icon;;;Brasil;91;83;83;80;85;86
42;rivaldo;17720;https://www.futwiz.com/en/fc24/player/rivaldo/17720;90;icon;;;Brasil;87;88;87;91;42;75
43;camille abily;17699;https://www.futwiz.com/en/fc24/player/camille-abily/17699;90;icon;;;Francia;82;89;90;89;80;78
44;ruud gullit;17693;https://www.futwiz.com/en/fc24/player/ruud-gullit/17693;90;icon;;;Holanda;85;88;88;86;80;87
45;aitana bonmati;48;https://www.futwiz.com/en/fc24/player/aitana-bonmati/48;90;gold;FC Barcelona;;España;81;84;83;91;75;73
46;lionel messi;47;https://www.futwiz.com/en/fc24/player/lionel-messi/47;90;gold;Inter Miami CF;MLS;Argentina;80;87;90;94;33;64
47;karim benzema;46;https://www.futwiz.com/en/fc24/player/karim-benzema/46;90;gold;Al Ittihad;SAU 1;Francia;79;88;83;87;39;78
48;thibaut courtois;45;https://www.futwiz.com/en/fc24/player/thibaut-courtois/45;90;gold;Real Madrid;ESP 1;Belgica;85;89;76;93;46;90
49;harry kane;44;https://www.futwiz.com/en/fc24/player/harry-kane/44;90;gold;FC Bayern MA 1/4nchen;GER 1;Inglaterra;69;93;84;83;49;83
